vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
60,,1,PREMIUM PLUS,n,45,1,1,2439779,0
66,,1,ALTA,n,71,8,8,0,0
,141,1,PREMIUM,n,73,25,25,0,0
116,,2,,n,7,0,0,0,0
50,,3,ALTA,n,42,7,7,1969990,0
54,,2,PREMIUM PLUS,n,27,0,0,0,0
62,,4,,n,40,8,8,0,0
50,66,2,PRIMIUM PLUS,s,38,11,11,1653464,0
60,,2,PREMIUM,n,24,2,2,0,0
60,,2,PREMIUM,n,24,2,2,0,0
,80,4,PREMIUM PLUS,n,25,0,0,0,0
,,5,PREMIUM PLUS,n,22,0,0,2949088,0
,29,6,PREMIUM PLUS,n,27,3,3,0,0
80,,4,PREMIUM PLUS,n,6,0,0,95899,0
63,,6,PREMIUM PLUS,n,14,0,0,0,0
39,,1,PREMIUM PLUS,n,55,14,14,6569791,0
54,,2,,n,15,0,0,2422869,0
59,122,1,PREMIUM PLUS,n,18,0,0,1619325,0
41,,5,,n,8,1,1,0,0
64,,1,PREMIUM PLUS,n,20,1,1,2629924,0
91,,2,PREMIUM,n,27,3,3,172415,0
39,153,1,PREMIUM PLUS,n,23,0,0,4494649,0
64,,2,PREMIUM,n,21,1,1,0,0
62,141,1,PREMIUM,n,32,0,0,0,0
,,6,,n,18,2,2,0,0
,141,3,PREMIUM PLUS,n,15,0,0,6446462,0
,141,1,PREMIUM PLUS,n,18,1,1,1303023,0
,73,4,PREMIUM,n,55,20,20,98374,0
33,135,1,ALTA,n,17,4,4,2194902,0
62,148,1,PREMIUM,n,13,0,0,0,0
41,,1,PREMIUM PLUS,n,6,1,1,894904,0
55,134,1,PREMIUM,n,16,6,6,0,0
34,160,1,PREMIUM,n,48,21,21,0,0
74,109,2,PREMIUM,n,59,0,0,0,0
48,89,1,PREMIUM PLUS,n,63,9,9,1606746,0
55,,2,PREMIUM,n,49,18,18,0,0
,79,2,BAJA,n,15,2,2,0,0
41,58,3,PREMIUM PLUS,n,26,2,2,7493046,0
36,150,1,ALTA,n,35,12,12,0,0
,135,5,PREMIUM PLUS,n,12,3,3,0,0
,59,2,,n,31,13,13,0,0
67,135,1,,n,6,1,1,477063,0
55,145,1,ALTA,n,28,0,0,0,0
38,,3,PREMIUM,n,77,3,3,1439094,0
71,167,1,PREMIUM,n,17,2,2,1888163,0
,134,2,PREMIUM PLUS,n,35,13,13,0,0
42,168,2,PREMIUM PLUS,n,69,28,28,0,0
62,131,2,,n,13,0,0,0,0
45,137,1,PREMIUM PLUS,n,44,11,11,0,0
53,,1,PREMIUM PLUS,n,50,18,18,10240531,0
48,149,3,PREMIUM PLUS,n,22,7,7,6054882,0
45,6,2,PREMIUM PLUS,n,91,36,36,4334079,0
41,,3,,n,3,0,0,0,0
12,134,3,PREMIUM PLUS,n,43,16,16,4,0
13,134,6,PREMIUM PLUS,n,16,7,7,0,0
64,,1,ALTA,n,11,1,1,1091497,0
51,88,1,PREMIUM PLUS,n,6,0,0,0,0
13,134,3,,n,43,19,19,147468,0
13,143,1,,n,22,10,10,0,0
22,,4,ALTA,n,14,0,0,242416,0
69,,1,PREMIUM PLUS,n,14,3,3,4176115,0
41,134,1,PREMIUM PLUS,n,10,0,0,0,0
67,133,2,,n,43,14,14,0,0
45,,1,PREMIUM,s,61,25,25,3529863,0
38,144,1,PREMIUM,n,16,3,3,0,0
,71,2,,n,43,19,19,0,0
48,82,2,,n,19,3,3,0,0
,90,1,ALTA,n,24,6,6,0,0
65,,1,PREMIUM PLUS,n,44,11,11,7891064,0
32,108,1,PREMIUM,n,34,10,10,0,0
117,137,6,ALTA,n,52,19,19,0,0
60,142,1,PREMIUM PLUS,n,54,19,19,0,0
41,145,1,ALTA,n,10,2,2,1414894,0
43,,1,PREMIUM PLUS,n,67,23,23,10939142,0
,36,1,PREMIUM,n,232,17,17,0,0
36,84,1,,n,18,3,3,0,0
53,134,1,PREMIUM,n,21,7,7,0,0
56,75,1,PREMIUM PLUS,n,95,34,34,0,0
72,78,2,PREMIUM PLUS,s,53,10,10,4466786,0
22,142,2,PREMIUM,n,6,1,1,3979138,0
53,,2,PREMIUM PLUS,s,21,4,4,8290909,0
34,86,2,PREMIUM,n,127,51,51,0,0
50,134,3,,n,9,0,0,0,0
49,,3,PREMIUM PLUS,n,48,6,6,2387417,0
116,134,3,PREMIUM,n,10,0,0,0,0
48,,2,ALTA,n,71,29,29,962515,0
46,89,1,ALTA,n,10,3,3,0,0
67,134,3,PREMIUM,n,8,0,0,0,0
46,138,1,PREMIUM PLUS,n,29,2,2,0,0
51,148,2,PREMIUM PLUS,n,7,0,0,0,0
11,129,5,PREMIUM PLUS,n,12,1,1,0,0
,5,2,,n,30,11,11,0,0
57,129,1,PREMIUM PLUS,n,11,2,2,0,0
41,164,7,PREMIUM PLUS,n,5,1,1,0,0
47,,1,PREMIUM PLUS,n,10,2,2,0,0
59,134,1,ALTA,n,45,20,20,0,0
64,147,2,MEDIA,n,34,10,10,5170480,0
42,151,1,PREMIUM PLUS,n,14,0,0,5332044,0
33,110,1,PREMIUM,s,54,20,20,8698321,0
43,92,5,MEDIA,n,22,6,6,5111887,0
52,134,2,PREMIUM PLUS,n,9,2,2,0,0
44,,3,PREMIUM PLUS,n,57,12,12,10613551,0
14,134,5,PREMIUM PLUS,n,115,47,47,0,0
91,92,1,PREMIUM PLUS,n,20,3,3,9628088,0
30,76,1,,n,12,1,1,6255287,0
40,96,1,PREMIUM PLUS,n,70,22,22,0,0
62,,2,ALTA,n,88,17,17,2359840,0
61,47,1,,n,31,11,11,0,0
51,166,2,PREMIUM PLUS,n,12,1,1,0,0
17,134,1,PREMIUM PLUS,n,26,7,7,0,0
14,160,3,,n,67,26,26,678825,0
39,80,1,PREMIUM,n,14,3,3,1646245,0
117,151,3,PREMIUM,n,23,8,8,7549251,0
17,155,3,PREMIUM,n,38,10,10,0,0
50,132,2,ALTA,n,58,12,12,0,0
50,111,2,,n,5,0,0,0,0
70,132,3,PREMIUM PLUS,n,18,1,1,0,0
116,,2,PREMIUM PLUS,n,52,18,18,625306,0
40,152,1,PREMIUM,n,23,0,0,1478603,0
37,133,1,PREMIUM,n,12,3,3,3878487,0
49,74,1,PREMIUM PLUS,n,15,4,4,3194465,0
64,147,2,PREMIUM PLUS,s,25,5,5,11056521,0
49,171,4,PREMIUM PLUS,n,41,12,12,0,0
47,,2,PREMIUM PLUS,n,7,0,0,6280881,0
50,147,2,PREMIUM PLUS,n,16,0,0,5275486,0
,133,6,,n,5,8,8,0,0
36,133,1,PREMIUM PLUS,n,8,0,0,10534191,0
53,133,5,PREMIUN PLUS,n,13,3,3,0,0
50,134,1,ALTA,n,9,0,0,3471904,0
17,147,1,PREMIUM,n,40,4,4,3196382,0
35,146,2,PREMIUM PLUS,n,19,6,6,0,0
14,133,7,PREMIUM PLUS,n,12,1,1,0,0
117,92,7,PREMIUM PLUS,n,11,0,0,0,0
11,114,2,ALTA,n,29,12,12,0,0
117,99,2,ALTA,n,20,0,0,0,0
41,133,3,PREMIUM PLUS,n,11,0,0,0,0
38,,1,PREMIUM PLUS,n,12,0,0,0,0
80,98,3,,n,62,28,28,0,0
52,,1,PREMIUM PLUS,n,66,0,0,0,0
63,,1,,n,2,0,0,0,0
38,,1,,n,47,21,21,4945277,0
42,,1,PREMIUM,n,24,9,9,2729249,0
43,,1,PREMIUM,n,84,32,32,0,0
66,137,1,PREMIUM,n,13,3,3,0,0
57,6,1,ALTA,n,50,18,18,0,0
29,84,1,PREMIUM,n,31,10,10,6981211,0
34,134,1,PREMIUM PLUS,n,56,21,21,8400549,0
56,133,2,PREMIUM PLUS,n,11,1,1,0,0
33,89,1,PREMIUM PLUS,n,23,3,3,0,0
41,,1,PREMIUM PLUS,n,62,26,26,0,0
36,132,1,PREMIUM,n,45,3,3,0,0
,1,1,PREMIUM,n,70,21,21,7306772,0
17,,7,,n,24,7,7,5052,0
54,133,1,,n,7,0,0,0,0
45,149,1,PREMIUM PLUS,n,14,1,1,0,0
19,155,1,,n,45,21,21,0,0
47,142,1,PREMIUM,n,17,1,1,8056778,0
57,133,6,PREMIUM,n,10,0,0,1330710,0
,73,1,PREMIUM PLUS,n,39,12,12,0,0
56,12,1,PREMIUM PLUS,n,22,5,5,4734815,0
63,156,1,PREMIUM PLUS,n,17,0,0,1820071,0
61,141,1,PREMIUM PLUS,n,8,0,0,0,0
51,,1,PREMIUM,n,52,20,20,5094443,0
41,,3,PREMIUM,n,22,8,8,0,0
52,148,1,ALTA,n,99,44,44,1860581,0
,141,5,,n,28,3,3,0,0
10,121,1,,n,49,23,23,0,0
45,131,2,PREMIUM PLUS,n,10,0,0,8863232,0
116,87,2,ALTA,n,23,4,4,346786,0
44,88,1,,n,28,0,0,11,0
45,122,1,BAJA,n,6,0,0,0,0
36,162,2,,n,16,1,1,2849547,0
33,133,7,PREMIUM,n,8,1,1,0,0
21,,1,PREMIUM PLUS,n,34,10,10,4385567,0
46,141,3,PREMIUM PLUS,n,53,19,19,9268588,0
41,,1,PREMIUM,n,9,0,0,0,0
57,,1,PREMIUM,n,7,0,0,0,0
5,70,3,PREMIUM PLUS,n,11,1,1,4753227,0
39,132,3,PREMIUM PLUS,n,9,1,1,0,0
116,105,2,,n,21,6,6,0,0
63,5,1,PREMIUM,n,68,31,31,0,0
30,88,1,MEDIA,n,16,0,0,427621,0
,74,5,,n,14,0,0,2996676,0
34,145,1,ALTA,n,77,28,28,752056,0
38,,3,PREMIUM PLUS,n,5,0,0,1154944,0
,132,1,,n,55,18,18,0,0
44,163,1,ALTA,n,64,26,26,9100274,0
117,132,4,ALTA,n,12,1,1,0,0
45,131,2,PREMIUM PLUS,n,11,0,0,3655670,0
117,129,4,PREMIUM,n,57,10,10,22545,0
40,132,6,,n,29,10,10,0,0
45,143,2,ALTA,n,66,16,16,6002128,0
51,,3,,n,9,1,1,0,0
56,143,1,PREMIUM PLUS,n,37,13,13,0,0
71,,2,PREMIUM,n,12,4,4,0,0
65,,2,PREMIUM,n,15,5,5,1069086,0
32,80,1,PREMIUM PLUS,n,24,3,3,11942225,0
46,132,2,PREMIUM PLUS,n,92,29,29,4942422,0
51,88,2,ALTA,n,28,8,8,3331499,0
56,158,2,PREMIUM PLUS,n,41,14,14,647857,0
58,137,1,PREMIUM PLUS,n,3,0,0,2356627,0
60,131,3,,n,4,0,0,0,0
62,142,1,PREMIUM,n,58,0,0,2265498,0
56,89,1,PREMIUM PLUS,n,36,12,12,7486791,0
44,107,2,PREMIUM,n,20,4,4,0,0
64,99,1,PREMIUM PLUS,n,34,12,12,0,0
77,,1,PREMIUM,n,31,6,6,248925,0
83,157,1,,n,19,4,4,0,0
117,91,2,MEDIA,n,14,1,1,0,0
38,132,2,PREMIUM,n,59,24,24,0,0
71,140,1,PREMIUM PLUS,s,40,11,11,0,0
45,132,1,PREMIUM PLUS,n,7,0,0,0,0
43,43,1,PREMIUM PLUS,n,8,0,0,10613413,0
,,4,PREMIUM PLUS,n,5,1,1,2416141,0
57,132,3,BAJA,n,21,1,1,0,0
51,132,2,,n,11,0,0,5669,0
28,85,2,PREMIUM,n,44,14,14,9980194,0
51,76,1,PREMIUM,n,8,0,0,6600913,0
64,,1,PREMIUM PLUS,n,16,0,0,0,0
44,,1,PREMIUM,n,91,22,22,1265173,0
29,69,1,PREMIUM PLUS,n,19,3,3,713963,0
17,157,4,PREMIUM,n,18,3,3,6175777,0
53,108,1,,n,35,13,13,0,0
18,132,5,PREMIUM PLUS,n,60,22,22,360331,0
41,113,1,,n,14,1,1,24748,0
38,,4,PREMIUM PLUS,n,26,9,9,7322409,0
61,,1,PREMIUM PLUS,n,17,3,3,0,0
11,132,2,PREMIUM,n,10,0,0,5223225,0
45,132,2,,n,59,25,25,1903131,0
43,120,2,PREMIUM,n,43,14,14,2650921,0
,76,1,PREMIUM,n,8,0,0,734578,0
49,115,1,ALTA,n,37,7,7,0,0
52,130,2,PREMIUM,n,13,2,2,4884321,0
38,131,1,ALTA,n,77,17,17,7596808,0
60,113,1,PREMIUM PLUS,n,40,9,9,0,0
,87,1,,n,7,1,1,0,0
54,132,2,PREMIUM,n,7,0,0,0,0
117,131,4,PREMIUM,n,77,35,35,0,0
54,94,1,PREMIUM,n,20,5,5,141152,0
55,132,1,PREMIUM PLUS,n,9,0,0,6651583,0
21,,4,,n,16,2,2,0,0
41,130,1,PREMIUM PLUS,s,5,0,0,0,0
62,88,1,PREMIUM PLUS,n,41,3,3,817543,0
63,,6,,n,26,0,0,0,0
,83,1,,n,26,4,4,0,0
54,,1,PREMIUM,n,82,24,24,1739410,0
55,,1,PREMIUM PLUS,n,36,4,4,1097490,0
76,139,1,PREMIUM,n,19,3,3,272289,0
72,111,1,ALTA,n,13,0,0,142206,0
,,3,PREMIUM PLUS,n,25,0,0,7488343,0
60,120,2,PREMIUM,n,9,0,0,1657896,0
,119,4,,no,20,1,1,0,0
43,,2,,n,35,4,4,5358636,0
83,,1,ALTA,n,10,1,1,0,0
51,,4,PREMIUM PLUS,n,11,0,0,0,0
70,,2,PREMIUM PLUS,s,21,3,3,2978382,0
,,1,,n,12,2,2,841417,0
61,132,4,PREMIUM PLUS,n,37,2,2,5922943,0
56,,3,PREMIUM PLUS,n,23,0,0,4174005,0
63,,1,PREMIUM PLUS,n,9,0,0,0,0
71,,2,ALTA,n,22,2,2,2645210,0
18,,5,PREMIUM PLUS,n,17,0,0,434190,0
71,,4,PREMIUM PLUS,s,14,0,0,0,0
36,172,1,PREMIUM,n,95,36,36,4558621,0
72,9,1,PREMIUM PLUS,n,23,0,0,2666441,0
62,,2,ALTA,n,44,6,6,0,0
52,,5,PREMIUM PLUS,n,17,0,0,0,0
58,,3,PREMIUM PLUS,n,55,15,15,8771078,0
54,,1,ALTA,n,57,12,12,0,0
,,1,,n,25,5,5,3793228,0
63,,1,PREMIUM,n,21,0,0,0,0
60,,2,PREMIUM,n,18,0,0,169289,0
66,154,1,PREMIUM PLUS,n,44,0,0,224810,0
55,,3,PREMIUM PLUS,n,38,9,9,1610322,0
,15,1,,n,28,3,3,1735765,0
35,132,1,PREMIUM PLUS,s,20,2,2,7777541,0
,,1,PREMIUM PLUS,n,24,0,0,259771,0
8,99,4,PREMIUM PLUS,n,48,2,2,0,0
71,,2,PREMIUM,n,32,0,0,692638,0
58,,1,PREMIUM PLUS,n,37,0,0,7981755,0
57,,1,PREMIUM,n,39,1,1,4822835,0
39,7,1,PREMIUM PLUS,n,36,3,3,0,0
55,,1,,n,83,25,25,0,0
70,,2,ALTA,n,16,5,5,0,0
58,,4,PREMIUM,n,82,25,25,0,0
58,163,2,PREMIUM PLUS,n,29,1,1,0,0
,,5,PREMIUM PLUS,n,14,0,0,0,0
55,,3,PREMIUM PLUS,n,28,0,0,6885088,0
54,21,2,,n,12,2,2,8160386,0
66,,2,PREMIUM PLUS,n,21,0,0,399158,0
,,4,,n,8,0,0,186228,0
55,,1,PREMIUM PLUS,n,57,7,7,0,0
69,89,1,PREMIUM PLUS,n,71,29,29,0,0
71,131,1,PREMIUM PLUS,n,20,0,0,1418367,0
59,81,1,PREMIUM PLUS,n,18,3,3,0,0
58,109,1,,n,0,0,0,0,0
67,,3,PREMIUM PLUS,n,43,0,0,6654667,0
66,128,1,PREMIUM PLUS,n,27,5,5,847795,0
65,,1,PREMIUM PLUS,n,50,12,12,0,0
60,,1,PREMIUM PLUS,n,34,11,11,0,0
,,2,,n,37,10,10,1650043,0
75,43,1,PREMIUM PLUS,s,8,0,0,701434,0
46,,6,PREMIUM,n,61,0,0,3027452,0
14,168,4,PREMIUM PLUS,n,35,1,1,1109403,0
54,16,1,PREMIUM PLUS,s,21,1,1,0,0
56,133,2,PREMIUM,n,21,1,1,36696,0
18,,4,,n,8,6,6,0,0
56,,3,,n,37,12,12,0,0
64,,3,PREMIUM PLUS,n,20,2,2,0,0
63,,2,PREMIUM PLUS,n,14,0,0,966208,0
47,143,2,PREMIUM PLUS,n,15,3,3,9699537,0
59,,3,PREMIUM PLUS,n,11,1,1,0,0
65,122,1,PREMIUM PLUS,n,17,1,1,0,0
60,,2,PREMIUM,n,15,0,0,0,0
58,,1,PREMIUM PLUS,n,30,3,3,5371183,0
72,,1,PREMIUM,n,2,0,0,164057,0
82,,1,ALTA,n,19,3,3,64,0
66,,2,PREMIUM,n,77,28,28,814057,0
53,,5,,n,46,3,3,1552976,0
79,107,1,,n,21,2,2,0,0
,,1,,n,15,1,1,0,0
116,,3,PREMIUM,n,25,1,1,0,0
,51,1,PREMIUM,n,32,0,0,0,0
62,,4,,n,10,1,1,1805085,0
,,3,,n,45,7,7,0,0
,,2,PREMIUM,n,11,0,0,0,0
62,,2,PREMIUM,n,113,32,32,0,0
51,,3,,n,24,2,2,0,0
62,116,1,ALTA,n,29,4,4,3595147,0
53,,1,PREMIUM PLUS,n,34,4,4,0,0
57,,2,PREMIUM PLUS,s,27,3,3,6060450,0
54,,1,,n,5,0,0,0,0
59,,2,PREMIUM,n,15,0,0,0,0
58,,1,PREMIUM PLUS,n,11,0,0,0,0
66,142,2,PREMIUM PLUS,n,39,1,1,0,0
,,1,,n,0,0,0,0,0
65,,2,PREMIUM PLUS,n,30,0,0,0,0
71,,1,PREMIUM,n,100,36,36,66984,0
65,,3,PREMIUM PLUS,n,21,1,1,9871303,0
55,,2,PREMIUM PLUS,n,22,0,0,0,0
50,,2,PREMIUM PLUS,n,19,1,1,0,0
66,,1,,n,0,0,0,0,0
61,,3,PREMIUM PLUS,n,18,0,0,3974158,0
43,128,2,PREMIUM,n,34,10,10,698088,0
62,,3,ALTA,n,33,0,0,3003510,0
55,,1,PREMIUM PLUS,n,46,11,11,0,0
52,,3,,n,26,2,2,0,0
86,,1,MEDIA,n,18,1,1,226683,0
63,,2,PREMIUM PLUS,n,23,1,1,0,0
49,,1,PREMIUM,n,56,13,13,11931236,0
66,105,1,PREMIUM,n,18,0,0,1056162,0
51,,2,,n,21,1,1,7012618,0
57,,2,PREMIUM PLUS,n,19,3,3,0,0
52,,1,,n,83,26,26,5779274,0
51,,1,,n,0,0,0,0,0
51,,4,PREMIUM PLUS,n,27,0,0,7249173,0
61,,2,PREMIUM PLUS,n,16,0,0,390624,0
58,,4,PREMIUM,n,14,1,1,514274,0
56,,2,PREMIUM,n,88,23,23,0,0
17,,2,PREMIUM PLUS,n,18,0,0,1237854,0
116,,4,PREMIUM,n,151,50,50,18103341,0
48,,2,PREMIUM PLUS,n,43,1,1,1645554,0
53,153,1,PREMIUM,n,26,2,2,0,0
47,,2,PREMIUM PLUS,n,90,27,27,0,0
,,1,,n,68,7,7,0,0
9,116,1,PREMIUM PLUS,n,31,7,7,0,0
25,,6,PREMIUM,n,11,0,0,0,0
69,23,1,PREMIUM PLUS,n,18,1,1,0,0
72,,2,PREMIUM PLUS,n,18,1,1,3369804,0
,,3,PREMIUM PLUS,n,95,32,32,1760632,0
50,162,1,PREMIUM PLUS,n,24,3,3,5187613,0
58,,4,,n,76,8,8,3208915,0
17,135,3,PREMIUM,n,38,0,0,0,0
,,1,,n,9,1,1,0,0
54,,4,PREMIUM,n,15,1,1,8604619,0
,36,1,PREMIUM PLUS,n,23,3,3,1350881,0
61,,1,PREMIUM,n,9,0,0,0,0
68,,1,PREMIUM,n,39,8,8,0,0
61,,2,PREMIUM PLUS,n,18,0,0,0,0
66,,1,PREMIUM,n,21,2,2,0,0
68,,1,PREMIUM,n,11,0,0,239848,0
43,148,2,,n,15,4,4,0,0
71,,1,PREMIUM,n,28,2,2,0,0
64,,6,PREMIUM PLUS,n,90,40,40,747358,0
43,,1,PREMIUM PLUS,n,14,0,0,780660,0
61,,2,ALTA,n,12,0,0,1176632,0
83,,2,PREMIUM PLUS,n,21,0,0,1250558,0
76,,1,,n,12,1,1,0,0
47,,1,PREMIUM,n,29,6,6,0,0
34,,2,PREMIUM,n,33,7,7,0,0
69,86,2,PREMIUM PLUS,n,16,0,0,0,0
57,,2,PREMIUM PLUS,n,19,0,0,3162528,0
64,,1,,n,17,0,0,898140,0
,,1,,n,4,1,1,0,0
62,21,1,PREMIUM PLUS,s,28,7,7,578595,0
63,,1,PREMIUM PLUS,n,25,1,1,6257262,0
77,126,1,PREMIUM PLUS,n,57,16,16,0,0
57,,3,PREMIUM PLUS,n,18,1,1,0,0
67,,1,PREMIUM PLUS,n,24,5,5,0,0
53,,3,PREMIUM PLUS,n,32,6,6,3635748,0
53,,2,MEDIA,n,20,3,3,4674383,0
,122,2,PREMIUM PLUS,n,26,1,1,564356,0
,,1,,n,0,0,0,0,0
60,,1,ALTA,n,40,11,11,0,0
49,,1,MEDIA,n,51,3,3,0,0
58,,3,PREMIUM,n,23,3,3,0,0
54,,1,,n,42,15,15,0,0
,24,1,PREMIUM PLUS,n,56,13,13,0,0
13,159,1,PREMIUM,n,81,30,30,2117553,0
,16,4,PREMIUM PLUS,n,17,1,1,737714,0
64,,2,PREMIUM PLUS,n,15,1,1,941207,0
69,,1,PREMIUM,n,13,1,1,1375272,0
71,,1,PREMIUM PLUS,n,15,1,1,357712,0
44,,1,PREMIUM PLUS,s,51,1,1,10022940,0
60,,2,PREMIUM PLUS,n,14,0,0,3718234,0
,,1,,n,8,1,1,0,0
,,1,MEDIA,n,8,1,1,0,0
116,111,3,PREMIUM PLUS,n,125,47,47,6972440,0
58,,1,PREMIUM,n,28,2,2,0,0
56,,2,,n,13,0,0,2950658,0
46,,1,ALTA,n,63,25,25,0,0
52,,3,PREMIUM,n,102,39,39,2175458,0
60,,1,PREMIUM PLUS,s,33,5,5,15653562,0
,,1,,n,7,0,0,0,0
58,,1,,n,25,5,5,0,0
18,,2,PREMIUM,n,47,10,10,0,0
57,,1,ALTA,n,19,1,1,1285121,0
58,,1,PREMIUM PLUS,n,28,2,2,0,0
41,131,2,PREMIUM,n,20,3,3,11358472,0
56,,1,PREMIUM,n,41,12,12,4305226,0
58,,2,ALTA,n,19,0,0,0,0
18,,1,PREMIUM PLUS,n,62,22,22,0,0
70,,1,PREMIUM PLUS,n,5,0,0,37000,0
54,,2,PREMIUM PLUS,n,15,0,0,2435512,0
57,,1,PREMIUM PLUS,n,29,3,3,6111668,0
54,,2,PREMIUM,n,8,0,0,0,0
50,,2,,n,93,35,35,0,0
56,,1,PREMIUM PLUS,n,5,0,0,0,0
64,,1,PREMIUM,n,19,5,5,2412869,0
76,,1,PREMIUM,n,28,2,2,0,0
70,,1,ALTA,s,17,1,1,0,0
50,133,1,PREMIUM,n,50,9,9,1387287,0
